target,temperature,salt,n,condition,S_ECI_R2,scalar_NN_R2,Zbox_R2,Zbox_minus_NN_R2,Zbox_wins,partial_r_Zbox_beyond_NN,partial_r_ECI_beyond_Zbox
KRAS,58,600,605,"KRAS 58°C, 600 mM NaCl",0.5308,0.5605,0.5061,-0.0544,False,0.2224,0.2425
KRAS,58,1000,605,"KRAS 58°C, 1000 mM NaCl",0.5211,0.537,0.4803,-0.0568,False,0.2031,0.2826
KRAS,60,600,605,"KRAS 60°C, 600 mM NaCl",0.4918,0.5249,0.5021,-0.0229,False,0.2615,0.1335
KRAS,60,1000,605,"KRAS 60°C, 1000 mM NaCl",0.4826,0.5019,0.477,-0.0249,False,0.244,0.1739
KRAS,62,600,605,"KRAS 62°C, 600 mM NaCl",0.3874,0.4123,0.4184,0.0061,True,0.2546,0.0424
KRAS,62,1000,605,"KRAS 62°C, 1000 mM NaCl",0.3999,0.4079,0.4239,0.016,True,0.2708,0.0644
KRAS,64,600,605,"KRAS 64°C, 600 mM NaCl",0.4281,0.4638,0.4681,0.0043,True,0.2779,0.0322
KRAS,64,1000,605,"KRAS 64°C, 1000 mM NaCl",0.4393,0.4693,0.4793,0.01,True,0.2913,0.0326
KRAS,66,600,605,"KRAS 66°C, 600 mM NaCl",0.4272,0.4679,0.4891,0.0212,True,0.3114,-0.0278
KRAS,66,1000,605,"KRAS 66°C, 1000 mM NaCl",0.4423,0.4511,0.5132,0.0622,True,0.3759,-0.0536
KRAS,68,600,605,"KRAS 68°C, 600 mM NaCl",0.4122,0.4464,0.4657,0.0193,True,0.2969,-0.0044
KRAS,68,1000,605,"KRAS 68°C, 1000 mM NaCl",0.4113,0.433,0.4662,0.0332,True,0.315,-0.0139
BRAF,52,1000,606,"BRAF 52°C, 1000 mM NaCl",0.3836,0.4295,0.3261,-0.1034,False,-0.0581,0.2924
BRAF,56,1000,606,"BRAF 56°C, 1000 mM NaCl",0.4744,0.5914,0.5026,-0.0887,False,0.0593,0.1178
BRAF,60,1000,606,"BRAF 60°C, 1000 mM NaCl",0.4317,0.5505,0.5048,-0.0456,False,0.1457,-0.0002
BRAF,64,1000,606,"BRAF 64°C, 1000 mM NaCl",0.1996,0.2313,0.3454,0.1141,True,0.4051,-0.2986
