target,condition,model,quantile,identification_rate_pct,numerator,denominator,ci95_lower_pct,ci95_upper_pct,n_probes
KRAS,"68°C, 1000 mM",S_ECI,top_5,9.7,3,31,0.0,22.6,605
KRAS,"68°C, 1000 mM",S_ECI,top_10,26.2,16,61,14.7,34.4,605
KRAS,"68°C, 1000 mM",S_ECI,top_25,59.9,91,152,52.0,65.8,605
KRAS,"68°C, 1000 mM",S_ECI,top_50,73.3,222,303,69.3,76.9,605
KRAS,"68°C, 1000 mM",scalar_NN,top_5,35.5,11,31,19.4,48.4,605
KRAS,"68°C, 1000 mM",scalar_NN,top_10,47.5,29,61,36.1,57.4,605
KRAS,"68°C, 1000 mM",scalar_NN,top_25,61.8,94,152,54.6,67.8,605
KRAS,"68°C, 1000 mM",scalar_NN,top_50,73.3,222,303,70.0,77.6,605
KRAS,"68°C, 1000 mM",Zbox_NN,top_5,22.6,7,31,12.9,41.9,605
KRAS,"68°C, 1000 mM",Zbox_NN,top_10,37.7,23,61,26.2,49.2,605
KRAS,"68°C, 1000 mM",Zbox_NN,top_25,62.5,95,152,55.9,68.4,605
KRAS,"68°C, 1000 mM",Zbox_NN,top_50,70.6,214,303,67.0,74.6,605
BRAF,"60°C, 1000 mM",S_ECI,top_5,25.8,8,31,12.9,48.4,606
BRAF,"60°C, 1000 mM",S_ECI,top_10,37.7,23,61,26.2,49.2,606
BRAF,"60°C, 1000 mM",S_ECI,top_25,50.7,77,152,44.7,57.9,606
BRAF,"60°C, 1000 mM",S_ECI,top_50,65.7,199,303,61.1,69.0,606
BRAF,"60°C, 1000 mM",scalar_NN,top_5,48.4,15,31,32.3,67.7,606
BRAF,"60°C, 1000 mM",scalar_NN,top_10,52.5,32,61,41.0,62.3,606
BRAF,"60°C, 1000 mM",scalar_NN,top_25,57.2,87,152,50.7,64.5,606
BRAF,"60°C, 1000 mM",scalar_NN,top_50,68.3,207,303,64.4,71.9,606
BRAF,"60°C, 1000 mM",Zbox_NN,top_5,58.1,18,31,41.9,74.2,606
BRAF,"60°C, 1000 mM",Zbox_NN,top_10,57.4,35,61,42.6,65.6,606
BRAF,"60°C, 1000 mM",Zbox_NN,top_25,59.9,91,152,53.9,67.1,606
BRAF,"60°C, 1000 mM",Zbox_NN,top_50,70.0,212,303,65.3,73.6,606
