study,gene,scheme,n_mismatches,mm_positions,fitted_MM_minus_PM,relative_intensity_loss,R2_reported,Lmax,SECI,Nbox_k3,retained_runs
Seringhaus [7],ACT1,centered,3,17;18;19,-0.175,0.175,0.995,16,481,196,15;16
Seringhaus [7],ACT1,centered,5,16;17;18;19;20,-0.309,0.309,0.995,15,421,169,14;15
Seringhaus [7],ACT1,centered,7,15;16;17;18;19;20;21,-0.443,0.443,0.995,14,365,144,13;14
Seringhaus [7],ACT1,centered,9,14;15;16;17;18;19;20;21;22,-0.577,0.577,0.995,13,313,121,12;13
Seringhaus [7],ACT1,centered,11,13;14;15;16;17;18;19;20;21;22;23,-0.711,0.711,0.995,12,265,100,11;12
Seringhaus [7],ACT1,staggered,2,12;24,-0.217,0.217,0.998,11,302,109,10;9;11
Seringhaus [7],ACT1,staggered,3,12;18;24,-0.431,0.431,0.998,11,239,83,10;3;3;11
Seringhaus [7],ACT1,staggered,4,6;12;18;24,-0.644,0.644,0.998,11,164,51,4;3;3;3;11
Seringhaus [7],ACT1,staggered,5,6;12;18;24;30,-0.858,0.858,0.998,5,77,13,4;3;3;3;3;5
Seringhaus [7],HBG2,centered,3,17;18;19,-0.111,0.111,0.974,16,481,196,15;16
Seringhaus [7],HBG2,centered,5,16;17;18;19;20,-0.246,0.246,0.974,15,421,169,14;15
Seringhaus [7],HBG2,centered,7,15;16;17;18;19;20;21,-0.380,0.380,0.974,14,365,144,13;14
Seringhaus [7],HBG2,centered,9,14;15;16;17;18;19;20;21;22,-0.515,0.515,0.974,13,313,121,12;13
Seringhaus [7],HBG2,centered,11,13;14;15;16;17;18;19;20;21;22;23,-0.649,0.649,0.974,12,265,100,11;12
Seringhaus [7],HBG2,staggered,2,12;24,-0.167,0.167,0.997,11,302,109,10;9;11
Seringhaus [7],HBG2,staggered,3,12;18;24,-0.390,0.390,0.997,11,239,83,10;3;3;11
Seringhaus [7],HBG2,staggered,4,6;12;18;24,-0.613,0.613,0.997,11,164,51,4;3;3;3;11
Seringhaus [7],HBG2,staggered,5,6;12;18;24;30,-0.835,0.835,0.997,5,77,13,4;3;3;3;3;5
